0.30103 0.472738 0 -81.9256 0-20.6368
0.60206 0.182724 0.731571 10.7948 90.5913-20.6368
0.90309 0.0688566 0.388804 3.54559 -71.155-20.6368
1.20412 -1.00013 -0.537083 -22.6999 -26.6287-20.6368
1.50515 -0.0519289 -0.89426 -2.32575 -23.2694-20.6368
1.80618 -0.604571 -1.22397 -25.7663 -21.869-20.6368
2.10721 -0.60421 -1.53705 -15.5031 -21.2361-20.6368
2.40824 -0.218589 -1.84347 -8.16146 -20.9328-20.6368
2.70927 -1.01424 -2.14703 -22.6339 -20.7839-20.6368
3.0103 -1.17939 -2.44929 -22.0022 -20.7102-20.6368
3.31133 -0.524531 -2.75092 -26.8044 -20.6735-20.6368
3.61236 -0.927786 -3.05225 -18.1998 -20.6551-20.6368
3.91339 -1.11214 -3.35343 -22.2309 -20.646-20.6368
4.21442 -1.27855 -3.65453 -19.5502 -20.6414-20.6368
4.51545 -1.41457 -3.9556 -19.8424 -20.6391-20.6368
4.81648 -1.26048 -4.25665 -19.504 -20.638-20.6368
5.11751 -2.28467 -4.55769 -20.744 -20.6374-20.6368
5.41854 -2.34339 -4.85872 -20.5433 -20.6371-20.6368
5.71957 -1.63201 -5.15975 -21.1184 -20.637-20.6368
6.0206 -2.24395 -5.46078 -20.5192 -20.6369-20.6368
6.32163 -2.23748 -5.76181 -20.7563 -20.6369-20.6368
6.62266 -3.397 -6.06285 -20.6451 -20.6369-20.6368
6.92369 -3.0214 -6.36388 -20.6172 -20.6369-20.6368
7.22472 -3.40331 -6.66491 -20.645 -20.6369-20.6368
7.52575 -2.73849 -6.96594 -20.6745 -20.6368-20.6368
7.82678 -3.43281 -7.26696 -20.6292 -20.6368-20.6368
